id,c_source,gene,gr,lag,upper_asymptote
60684,Acetate,b0660,0,1800,0.856666667
60685,Acetate,b0661,0,1800,3.836666667
60686,Acetate,b0662,0,1800,0
60687,Acetate,b0674,0,1800,0.706666667
60688,Acetate,b0675,0,1800,2.63
60689,Acetate,b0676,0,1800,1.353333333
60690,Acetate,b0677,0,1800,2.973333333
60691,Acetate,b0678,0,1800,2.74
60692,Acetate,b0679,0,1800,1.74
60693,Acetate,b0681,0,1800,1.016666667
60694,Acetate,b0682,0,1800,1.776666667
60695,Acetate,b0683,0,1800,2.613333333
60697,Acetate,b0686,0,1800,2.076666667
60699,Acetate,b0688,0,1800,1.403333333
60700,Acetate,b0689,0,1800,1.183333333
60702,Acetate,b0692,0,1800,3.303333333
60703,Acetate,b0693,0,1800,1.943333333
60704,Acetate,b0694,0,1800,2.486666667
60706,Acetate,b0696,0,1800,2.99
60707,Acetate,b0697,0,1800,1.196666667
60708,Acetate,b0698,0,1800,3.013333333
60709,Acetate,b0699,0,1800,2.776666667
60710,Acetate,b0702,0,1800,1.79
60711,Acetate,b0703,0,1800,1.993333333
60712,Acetate,b0704,0,1800,1.56
60713,Acetate,b0706,0,1800,1.516666667
60714,Acetate,b0707,0,1800,1.623333333
60715,Acetate,b0708,0,1800,1.143333333
60716,Acetate,b0709,0,1800,3.136666667
60717,Acetate,b0710,0,1800,1.866666667
60718,Acetate,b0711,0,1800,0.833333333
60719,Acetate,b0712,0,1800,1.27
60720,Acetate,b0713,0,1800,2.063333333
60721,Acetate,b0714,0,1800,3.213333333
60722,Acetate,b0715,0,1800,1.866666667
60723,Acetate,b0716,0,1800,3.13
60724,Acetate,b0717,0,1800,2.296666667
60726,Acetate,b0719,0,1800,1.043333333
60727,Acetate,b0720,0,1800,0
60728,Acetate,b0721,0,1800,0.22
60729,Acetate,b0722,0,1800,2.01
